step,t,n_source_events,n_context_events,n_ingested_source,n_ingested_context,n_pruned_source,n_pruned_context,attention_n1,attention_n2,attention_n3,attention_n4,attention_n5,attention_n6,share_n1,share_n2,share_n3,share_n4,share_n5,share_n6,top1_neuron,top1_attention,top1_share,top1_margin
31,0.620000,5,5,0,1,0,0,0.000000,2.316093,0.060832,0.060832,0.000000,0.000000,0.000000,0.950092,0.024954,0.024954,0.000000,0.000000,2,2.316093,0.950092,0.925138
32,0.640000,4,5,0,0,1,0,0.000000,1.992916,0.060832,0.060832,0.000000,0.000000,0.000000,0.942464,0.028768,0.028768,0.000000,0.000000,2,1.992916,0.942464,0.913697
33,0.660000,4,4,0,0,0,1,0.000000,1.992916,0.000000,0.060832,0.000000,0.000000,0.000000,0.970380,0.000000,0.029620,0.000000,0.000000,2,1.992916,0.970380,0.940760
34,0.680000,5,4,1,0,0,0,0.000000,1.992916,0.000000,0.060832,0.060832,0.000000,0.000000,0.942464,0.000000,0.028768,0.028768,0.000000,2,1.992916,0.942464,0.913697
35,0.700000,5,5,0,1,0,0,0.000000,2.403755,0.000000,0.060832,0.060832,0.000000,0.000000,0.951824,0.000000,0.024088,0.024088,0.000000,2,2.403755,0.951824,0.927737
36,0.720000,4,5,0,0,1,0,0.000000,2.403755,0.000000,0.060832,0.060832,0.000000,0.000000,0.951824,0.000000,0.024088,0.024088,0.000000,2,2.403755,0.951824,0.927737
37,0.740000,5,5,1,0,0,0,0.000000,3.370047,0.000000,0.060832,0.060832,0.000000,0.000000,0.965156,0.000000,0.017422,0.017422,0.000000,2,3.370047,0.965156,0.947735
38,0.760000,5,5,0,1,0,1,0.000000,2.403755,0.000000,0.060832,0.060832,0.000000,0.000000,0.951824,0.000000,0.024088,0.024088,0.000000,2,2.403755,0.951824,0.927737
39,0.780000,5,5,0,0,0,0,0.000000,2.403755,0.000000,0.060832,0.060832,0.000000,0.000000,0.951824,0.000000,0.024088,0.024088,0.000000,2,2.403755,0.951824,0.927737
40,0.800000,4,5,0,0,1,0,0.000000,1.992915,0.000000,0.060832,0.060832,0.000000,0.000000,0.942464,0.000000,0.028768,0.028768,0.000000,2,1.992915,0.942464,0.913697
41,0.820000,5,4,1,0,0,1,0.000000,1.992915,0.000000,0.000000,0.060832,0.060832,0.000000,0.942464,0.000000,0.000000,0.028768,0.028768,2,1.992915,0.942464,0.913697
42,0.840000,5,4,0,0,0,0,0.000000,1.992915,0.000000,0.000000,0.060832,0.060832,0.000000,0.942464,0.000000,0.000000,0.028768,0.028768,2,1.992915,0.942464,0.913697
43,0.860000,5,5,0,1,0,0,0.000000,2.316093,0.000000,0.000000,0.060832,0.060832,0.000000,0.950092,0.000000,0.000000,0.024954,0.024954,2,2.316093,0.950092,0.925138
44,0.880000,4,5,0,0,1,0,0.000000,2.316093,0.000000,0.000000,0.060832,0.060832,0.000000,0.950092,0.000000,0.000000,0.024954,0.024954,2,2.316093,0.950092,0.925138
45,0.900000,5,4,1,0,0,1,0.000000,2.277437,0.000000,0.000000,0.060832,0.060832,0.000000,0.949288,0.000000,0.000000,0.025356,0.025356,2,2.277437,0.949288,0.923932
46,0.920000,5,5,0,1,0,0,0.000000,2.277437,0.000000,0.000000,0.060832,0.060832,0.000000,0.949288,0.000000,0.000000,0.025356,0.025356,2,2.277437,0.949288,0.923932
47,0.940000,4,5,0,0,1,0,0.000000,1.883823,0.000000,0.000000,0.060832,0.060832,0.000000,0.939335,0.000000,0.000000,0.030333,0.030333,2,1.883823,0.939335,0.909002
48,0.960000,4,4,0,0,0,1,0.000000,1.883823,0.000000,0.000000,0.000000,0.060832,0.000000,0.968719,0.000000,0.000000,0.000000,0.031281,2,1.883823,0.968719,0.937437
49,0.980000,5,4,1,0,0,0,0.060832,1.883823,0.000000,0.000000,0.000000,0.060832,0.030333,0.939335,0.000000,0.000000,0.000000,0.030333,2,1.883823,0.939335,0.909002
50,1.000000,5,5,0,1,0,0,0.060832,2.277437,0.000000,0.000000,0.000000,0.060832,0.025356,0.949288,0.000000,0.000000,0.000000,0.025356,2,2.277437,0.949288,0.923932
51,1.020000,5,5,0,0,0,0,0.060832,2.277437,0.000000,0.000000,0.000000,0.060832,0.025356,0.949288,0.000000,0.000000,0.000000,0.025356,2,2.277437,0.949288,0.923932
52,1.040000,5,5,1,0,1,0,0.060832,3.234276,0.000000,0.000000,0.000000,0.060832,0.018127,0.963747,0.000000,0.000000,0.000000,0.018127,2,3.234276,0.963747,0.945620
53,1.060000,5,5,0,1,0,1,0.060832,2.316094,0.000000,0.000000,0.000000,0.060832,0.024954,0.950092,0.000000,0.000000,0.000000,0.024954,2,2.316094,0.950092,0.925138
54,1.080000,4,5,0,0,1,0,0.060832,1.992916,0.000000,0.000000,0.000000,0.060832,0.028768,0.942464,0.000000,0.000000,0.000000,0.028768,2,1.992916,0.942464,0.913697
55,1.100000,4,4,0,0,0,1,0.060832,1.992916,0.000000,0.000000,0.000000,0.000000,0.029620,0.970380,0.000000,0.000000,0.000000,0.000000,2,1.992916,0.970380,0.940760
56,1.120000,5,4,1,0,0,0,0.060832,1.992916,0.060832,0.000000,0.000000,0.000000,0.028768,0.942465,0.028768,0.000000,0.000000,0.000000,2,1.992916,0.942465,0.913697
57,1.140000,5,4,0,0,0,0,0.060832,1.992916,0.060832,0.000000,0.000000,0.000000,0.028768,0.942465,0.028768,0.000000,0.000000,0.000000,2,1.992916,0.942465,0.913697
58,1.160000,5,4,0,0,0,0,0.060832,1.992916,0.060832,0.000000,0.000000,0.000000,0.028768,0.942465,0.028768,0.000000,0.000000,0.000000,2,1.992916,0.942465,0.913697
59,1.180000,4,4,0,0,1,0,0.060832,1.992916,0.060832,0.000000,0.000000,0.000000,0.028768,0.942465,0.028768,0.000000,0.000000,0.000000,2,1.992916,0.942465,0.913697
60,1.200000,4,4,0,0,0,0,0.060832,1.992916,0.060832,0.000000,0.000000,0.000000,0.028768,0.942465,0.028768,0.000000,0.000000,0.000000,2,1.992916,0.942465,0.913697
